#TYPE System.Management.Automation.PSCustomObject																														
batchid	dbid	client_matter	clientid	loadnr	orig_dcb	conv_dcb	orig_dir	st_backup	st_backup_arch	st_get_natives	st_get_images	st_get_images2	st_add_db	st_add_natives	st_db_sizes	db_bytes	db_files	natives_bytes	natives_files_present	natives_files_missing	images_bytes	images_files_present	images_files_missing	st_qc_tags	st_qc_compare_tags	st_convert	st_get_arch_db_files	st_sizes_natives	st_sizes_images	st_all
3	22		23 - 003540.000114		X:\003540\000114\Navsol_Production\NAVSOL_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\Navsol_Production\NAVSOL_PRODUCTION.DCB			2	2	2	2			2	12094216	18	0	0	0	426265164	5024	0					2	2	2
3	23		24 - 003540.000114		X:\003540\000114\Nissan_Production\NISSAN_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\Nissan_Production\NISSAN_PRODUCTION.DCB			2	2	2	2			2	110588512	31	364598142	293	0	16758641294	78001	0					2	2	2
3	24		25 - 003540.000114		X:\003540\000114\Porsche_Production\PORSCHE_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\Porsche_Production\PORSCHE_PRODUCTION.DCB			2	2	2	2			2	5860056	26	0	0	0	1649223119	1778	0					2	2	2
3	25		26 - 003540.000114		X:\003540\000114\Robert_Bosch_LLC\ROBERT_BOSCH_LLC.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\Robert_Bosch_LLC\ROBERT_BOSCH_LLC.DCB			2	2	2	2			2	17411041	25	0	0	0	1271022938	3074	0					2	2	2
3	26		27 - 003540.000114		X:\003540\000114\Sanyo\SANYO.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\Sanyo\SANYO.DCB			2	2	2	2			2	739377	18	0	0	0	77413998	161	0					2	2	2
3	27		28 - 003540.000114		X:\003540\000114\U-blox_America_Production\U-BLOX_AMERICA_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\U-blox_America_Production\U-BLOX_AMERICA_PRODUCTION.DCB			2	2	2	2			2	249891	16	0	0	0	1261937	26	0					2	2	2
3	28		29 - 003540.000114		X:\003540\000114\Mercedes_ITC_Review\MERCEDES_ITC_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\Mercedes_ITC_Review\MERCEDES_ITC_REVIEW.DCB			2	2	2	2			2	40845755	32	2426880	8	0	2978132603	14081	121					2	2	2
3	29		30 - 003540.000114		X:\003540\000114\MiTAC_Production\MITAC_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\MiTAC_Production\MITAC_PRODUCTION.DCB			2	2	2	2			2	115430595	18	0	0	0	2281595546	31936	0					2	2	2
3	30		31 - 003540.000114		X:\003540\000114\Suzuki_Production\SUZUKI_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\Suzuki_Production\SUZUKI_PRODUCTION.DCB			2	2	2	2			2	9471524	27	0	0	0	39010946	221	3550					2	2	2
3	31		32 - 003540.000114		X:\003540\000114\Mercedes_ITC_Production\MERCEDES_ITC_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003540\000114\Mercedes_ITC_Production\MERCEDES_ITC_PRODUCTION.DCB			2	2	2	2			2	42471224	33	0	0	0	3053471144	14592	0					2	2	2
3	32		33 - 003866.000002		X:\003866\000002\Tenor_ESI_Review_Database\ESI_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003866\000002\Tenor_ESI_Review_Database\ESI_REVIEW.DCB			2	2	2	2			2	347097897	36	570091775	8836	3	2797023007	47093	27870					2	2	2
3	33		34 - 019061.000005		X:\019061\000005\CoCounsel_Production\TRANS1_CO_COUNSEL_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019061\000005\CoCounsel_Production\TRANS1_CO_COUNSEL_PRODUCTION.DCB			2	2	2	2			2	15427615	29	1480308500	5226	0	765650800	15201	0					2	2	2
3	34		35 - 019061.000005		X:\019061\000005\PROD1\1DOJTRANS1_PROD001.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019061\000005\PROD1\1DOJTRANS1_PROD001.DCB			2	2	2	2			2	23872011	25	0	0	0	0	0	0					2	2	2
3	35		36 - 019061.000005		X:\019061\000005\PROD3\1DOJTRANS1_11_PROD003.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019061\000005\PROD3\1DOJTRANS1_11_PROD003.DCB			2	2	2	2			2	108698	14	0	0	0	0	0	0					2	2	2
3	36		37 - 019061.000005		X:\019061\000005\PROD4\1DOJTRANS1_PROD004.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019061\000005\PROD4\1DOJTRANS1_PROD004.DCB			2	2	2	2			2	13172978	22	0	0	0	0	0	0					2	2	2
3	37		38 - 019199.000002		X:\019199\000002\EDD\ASMIT.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019199\000002\EDD\ASMIT.DCB			2	2	2	2			2	933079182	11	0	0	0	0	0	0					2	2	2
3	38		39 - 019337.000102		X:\019337\000102\Office_Depot_Climo_Email_Review_DB\EMAIL_REVIEW_DB.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019337\000102\Office_Depot_Climo_Email_Review_DB\EMAIL_REVIEW_DB.DCB			2	2	2	2			2	403087455	31	1327611383	3957	0	4583557161	86493	3					2	2	2
3	39		40 - 019582.000017		X:\019582\000017\Arbitration\NICOR001.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019582\000017\Arbitration\NICOR001.DCB			2	2	2	2			2	1750831819	38	4128981485	15269	49	38475370973	286020	0					2	2	2
3	40		41 - 019582.000017		X:\019582\000017\CVGS_PRODUCTION\CVGS_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019582\000017\CVGS_PRODUCTION\CVGS_PRODUCTION.DCB			2	2	2	2			2	646802713	30	4975437478	16389	6	17335045781	94522	0					2	2	2
3	41		42 - 019582.000017		X:\019582\000017\Nicor_Arbitration\XXNICOR001.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019582\000017\Nicor_Arbitration\XXNICOR001.DCB			2	2	2	2			2	703109109	38	0	0	0	0	0	0					2	2	2
3	42		43 - 019582.000017		X:\019582\000017\PNG001\PNG001.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019582\000017\PNG001\PNG001.DCB			2	2	2	2			2	15885105	31	0	0	849	153200282	3431	0					2	2	2
3	43		44 - 019752.000004		X:\019752\000004\NAHC_Production\NAHC_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\019752\000004\NAHC_Production\NAHC_PRODUCTION.DCB			2	2	2	2			2	1321563	26	0	0	0	15830226	326	16					2	2	2
3	44		45 - 020793.000002		X:\020793\000002\Jacoby_Bisys003\BISYS003.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\020793\000002\Jacoby_Bisys003\BISYS003.DCB			2	2	2	2			2	252243	21	0	0	0	3217190	91	0					2	2	2
3	45		46 - 020980.000002		X:\020980\000002\PPHEA_001\PPHEA_001.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\020980\000002\PPHEA_001\PPHEA_001.DCB			2	2	2	2			2	1485342	25	0	0	0	17835822	328	0					2	2	2
3	47		48 - 021728.000007		X:\021728\000007\K12_Production_QC\K12_005_Prod_QC\K12_005_PROD_QC.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\021728\000007\K12_Production_QC\K12_005_Prod_QC\K12_005_PROD_QC.DCB			2	2	2	2			2	11712429	26	0	0	0	243053960	3640	0					2	2	2
3	48		49 - 021728.000007		X:\021728\000007\Florida_DOE\FLORIDA_DOE_DOCUMENTS.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\021728\000007\Florida_DOE\FLORIDA_DOE_DOCUMENTS.DCB			2	2	2	2			2	359685424	54	75548037	188	0	4522455566	74441	0					2	2	2
3	49		50 - 022627.000009		X:\022627\000009\TMHRI_Production_MOVED_LOCALLY_FORDEPO_DGlebov\TMHRI_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\022627\000009\TMHRI_Production_MOVED_LOCALLY_FORDEPO_DGlebov\TMHRI_PRODUCTION.DCB			2	2	2	2			2	36096257	33	140445219	546	655	492191486	7842	0					2	2	2
3	50		51 - 025274.000015		X:\025274\000015\HL_SINGLEPAGE_TEMP\HL_SINGLEPAGE_TEMP.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025274\000015\HL_SINGLEPAGE_TEMP\HL_SINGLEPAGE_TEMP.DCB			2	2	2	2			2	170325	39	0	0	0	771622	23	0					2	2	2
3	51		52 - 025593.000008		X:\025593\000008\Backup\Dendreon_Email_review\DENDREON_EMAIL_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Backup\Dendreon_Email_review\DENDREON_EMAIL_REVIEW.DCB			2	2	2	2			2	236207931	29	2057945190	9786	8	0	0	0					2	2	2
3	52		53 - 025593.000008		X:\025593\000008\Temp_Productions\DNDN009\DNDN009_TEMP_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN009\DNDN009_TEMP_REVIEW.DCB			2	2	2	2			2	573180479	31	4953440440	6108	1	2701919412	38627	0					2	2	2
3	53		54 - 025593.000008		X:\025593\000008\Hagen_Review\HAGEN_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Hagen_Review\HAGEN_REVIEW.DCB			2	2	2	2			2	2245671	29	0	0	0	67237962	534	0					2	2	2
3	54		55 - 025593.000008		X:\025593\000008\Temp_Productions\DNDN010\TEMP_DNDN010_PROD.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN010\TEMP_DNDN010_PROD.DCB			2	2	2	2			2	873092438	47	5801018831	23779	0	24430244727	89976	0					2	2	2
3	55		56 - 025593.000008		X:\025593\000008\Temp_Productions\DNDN011\TEMP_DNDN011_PROD.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN011\TEMP_DNDN011_PROD.DCB			2	2	2	2			2	297770578	28	2478732961	5995	0	1166189955	19390	0					2	2	2
3	56		57 - 025593.000008		X:\025593\000008\Temp_Productions\DNDN005\DNDN005_PREPRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN005\DNDN005_PREPRODUCTION.DCB			2	2	2	2			2	388881247	59	1936070333	4389	0	2014403448	22863	0					2	2	2
3	57		58 - 025593.000008		X:\025593\000008\Temp_Productions\DNDN006\DNDN006_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN006\DNDN006_REVIEW.DCB			2	2	2	2			2	235234052	52	1526976660	3081	0	1208627325	15535	0					2	2	2
3	58		59 - 025593.000008		X:\025593\000008\Temp_Productions\DNDN018\DNDN018_TEMP PROD_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN018\DNDN018_TEMP PROD_REVIEW.DCB			2	0	0				2	2224885115	29													0
3	59		60 - 025593.000008		X:\025593\000008\Temp_Productions\DNDN020Ols_BAD\DNDN020_TEMP_PROD_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN020Ols_BAD\DNDN020_TEMP_PROD_REVIEW.DCB			2	2	2	2			2	5171006	63	12013151	58	0	0	0	338					2	2	2
3	60		61 - 025593.000011		X:\025593\000011\Dendreon_220_Review\DENDREON_220_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593\000011\Dendreon_220_Review\DENDREON_220_REVIEW.DCB			2	2	2	2			2	127930866	33	929771185	694	0	3633727057	12540	0					2	2	2
3	61		62 - 025593R.000008		X:\025593R\000008\Dendreon_FYI_Training_database\DENDREON_FYI_TRAINING_DATABASE.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025593R\000008\Dendreon_FYI_Training_database\DENDREON_FYI_TRAINING_DATABASE.DCB			2	2	2	2			2	169731597	32	513994409	1089	0	719646597	7968	0					2	2	2
3	62		63 - 025766.000019		X:\025766\000019\Liberty_v_Ford_Review\LIBERTY_V_FORD_REVIEW1.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\025766\000019\Liberty_v_Ford_Review\LIBERTY_V_FORD_REVIEW1.DCB			2	2	2	2			2	279823003	20	0	0	0	9588756969	153568	42494					2	2	2
3	63		64 - 026193.000010		X:\026193\000010\ACL_Zinn_ACL_Prod_DB\ACL_PROD_DB.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\026193\000010\ACL_Zinn_ACL_Prod_DB\ACL_PROD_DB.DCB			2	2	2	2			2	7852767	27	0	0	0	85520366	2133	0					2	2	2
3	64		65 - 026193.000010		X:\026193\000010\ACL_Zinn_Claimant_Exhibits_DB\CLAIMANT EXHIBITS_DB.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\026193\000010\ACL_Zinn_Claimant_Exhibits_DB\CLAIMANT EXHIBITS_DB.DCB			2	0	0				2	337182	21													0
3	65		66 - 026193.000010		X:\026193\000010\ACL_Zinn_Zinn_Review_DB\ZINN_REVIEW_DB.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\026193\000010\ACL_Zinn_Zinn_Review_DB\ZINN_REVIEW_DB.DCB			2	2	2	2			2	13769257	29	0	0	0	189068248	3924	0					2	2	2
3	66		67 - 026583.000010		X:\026583\000010\HL_Production\070810-PRODUCTION-Produce\PRODUCE.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\026583\000010\HL_Production\070810-PRODUCTION-Produce\PRODUCE.DCB			2	2	2	2			2	125157833	32	0	0	1046	2230923092	33156	0					2	2	2
3	67		68 - 026583.000010		X:\026583\000010\HL_Production\070810-PRODUTION-Question\QUESTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\026583\000010\HL_Production\070810-PRODUTION-Question\QUESTION.DCB			2	0	0				2	3224636	30													0
3	68		69 - 026821.000004		X:\026821\000004\HL_Production\026821_000004_PPFA_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\026821\000004\HL_Production\026821_000004_PPFA_PRODUCTION.DCB			2	2	2	2			2	21748079	28	418929553	575	1	884817690	8424	0					2	2	2
3	69		70 - 026821.000004		X:\026821\000004\HL_Review\026821_000004_PPFA_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\026821\000004\HL_Review\026821_000004_PPFA_REVIEW.DCB			2	2	2	2			2	29100660	30	469235192	689	2	394744709	8137	0					2	2	2
3	70		71 - 027627.000073		X:\027627\000073\Airbus_AIRMAN_COLLECTION_TRIAGE\AIRMAN_COLLECTION_TRIAGE.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\027627\000073\Airbus_AIRMAN_COLLECTION_TRIAGE\AIRMAN_COLLECTION_TRIAGE.DCB			2	2	2	2			2	20252212	28	477603	4	643	0	0	0					2	2	2
3	71		72 - 027627.000073		X:\027627\000073\Airbus_PTD_PTD_Production\PTD_PROD.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\027627\000073\Airbus_PTD_PTD_Production\PTD_PROD.DCB			2	2	2	2			2	680194966	19	0	0	0	9995974463	16622	0					2	2	2
3	72		73 - 027896.000009		X:\027896\000009\TOWER_ELOAD_3\TOWER_ELOAD_3.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\027896\000009\TOWER_ELOAD_3\TOWER_ELOAD_3.DCB			2	2	2	2			2	672622006	28	0	0	0	0	0	0					2	2	2
3	73		74 - 027896.000009		X:\027896\000009\TOWER_ELOAD_5\TOWER_ELOAD_5.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\027896\000009\TOWER_ELOAD_5\TOWER_ELOAD_5.DCB			2	2	2	2			2	895491034	29	0	0	36322	0	0	0					2	2	2
3	74		75 - 027896.000009		X:\027896\000009\TOWER_ELOAD_2\TOWER_ELOAD_2.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\027896\000009\TOWER_ELOAD_2\TOWER_ELOAD_2.DCB			2	2	2	2			2	832525331	26	0	0	52688	0	0	0					2	2	2
3	75		76 - 027942.000001		X:\027942\000001\_PROD-QC\VOL002\PROD002.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\027942\000001\_PROD-QC\VOL002\PROD002.DCB			2	2	2	2			2	862466	30	0	0	0	6800539	98	0					2	2	2
3	76		77 - 028142.000002		X:\028142\000002\Singer_v_Seavey_Seavey_Production\SEAVEY_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\028142\000002\Singer_v_Seavey_Seavey_Production\SEAVEY_PRODUCTION.DCB			2	2	2	2			2	24471037	18	0	0	0	196695850	4458	0					2	2	2
3	77		78 - 029013.000010		X:\029013\000010\KIA_Dealer_Eastern_Region_Dealer_Improvement_Docs\EASTERN_REGION_DEALER_IMPROVEMENT_DOCS.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\029013\000010\KIA_Dealer_Eastern_Region_Dealer_Improvement_Docs\EASTERN_REGION_DEALER_IMPROVEMENT_DOCS.DCB			2	2	2	2			2	84718238	29	0	0	0	641383771	11856	0					2	2	2
3	78		79 - 029013.000122		X:\029013\000122\KMA\KMA.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\029013\000122\KMA\KMA.DCB			2	2	2	2			2	7868272	25	0	0	0	143445818	1540	0					2	2	2
3	79		80 - 029013.000122		X:\029013\000122\KMA_Production\KMA_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\029013\000122\KMA_Production\KMA_PRODUCTION.DCB			2	2	2	2			2	6619344	25	0	0	0	134331122	1366	0					2	2	2
3	80		81 - 029013.000122		X:\029013\000122\Premier_Kia_Bank_Litigation\PREMIER_KIA_BANK_LITIGATION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\029013\000122\Premier_Kia_Bank_Litigation\PREMIER_KIA_BANK_LITIGATION.DCB			2	2	2	2			2	428973	17	0	0	0	80281883	1000	0					2	2	2
3	81		82 - 029013.000122		X:\029013\000122\Premier_KIA_Review\PREMIER_KIA_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\029013\000122\Premier_KIA_Review\PREMIER_KIA_REVIEW.DCB			2	2	2	2			2	9044371	23	0	0	0	195151020	1919	0					2	2	2
3	82		83 - 029013.000213		X:\029013\000213\Kia_Value_Kia_Arbitration\KIA-VALUEKIA-ARBITRATION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\029013\000213\Kia_Value_Kia_Arbitration\KIA-VALUEKIA-ARBITRATION.DCB			2	2	2	2			2	20556566	26	0	0	728	299606004	5722	0					2	2	2
3	83		84 - 029013.000215		X:\029013\000215\KIA_Brooklyn_Auto_Group_Production_Database\BROOKLYN_AUTO_GROUP_PRODUCTION.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\029013\000215\KIA_Brooklyn_Auto_Group_Production_Database\BROOKLYN_AUTO_GROUP_PRODUCTION.DCB			2	2	2	2			2	5203580	24	0	0	0	117116096	883	0					2	2	2
3	84		85 - 029013.000215		X:\029013\000215\KIA_Brooklyn_Auto_Group_Review_Database\BROOKLYN_AUTO_REVIEW.DCB	W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\029013\000215\KIA_Brooklyn_Auto_Group_Review_Database\BROOKLYN_AUTO_REVIEW.DCB			2	2	2	2			2	6685193	24	0	0	0	138490919	1315	0					2	2	2
